id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,instrumentalness,vocal_presence,complexity
1,Khamoshi,Ritviz,indie pop,happy,0.72,108,0.78,0.74,0.42,78,2010s,0.02,0.92,0.45
2,Shouldn't I Give Up,Mehro,indie pop,melancholy,0.38,82,0.32,0.48,0.71,65,2020s,0.04,0.88,0.38
3,Sapphire,Ed Sheeran,pop,romantic,0.61,96,0.72,0.68,0.38,82,2020s,0.01,0.95,0.48
4,Arz Kiya Hai,Anuv Jain,indie pop,melancholy,0.35,74,0.38,0.44,0.82,70,2020s,0.06,0.88,0.42
5,Sarphira,Pritam,bollywood,motivated,0.78,132,0.74,0.72,0.22,72,2020s,0.02,0.94,0.52
6,Sun Toh,Ritviz,indie pop,romantic,0.55,94,0.68,0.62,0.54,74,2020s,0.03,0.91,0.40
7,Baaraat,Ritviz,electronic,happy,0.84,128,0.82,0.86,0.12,76,2010s,0.08,0.88,0.55
8,Mishri,Anuv Jain,indie pop,romantic,0.42,80,0.62,0.52,0.76,72,2020s,0.04,0.90,0.36
9,Khudi,The Local Train,indie rock,melancholy,0.58,102,0.34,0.52,0.48,68,2010s,0.06,0.88,0.58
10,Choo Lo,The Local Train,indie rock,romantic,0.52,88,0.56,0.54,0.62,74,2010s,0.04,0.90,0.50
11,Dil Mere,The Local Train,indie rock,moody,0.62,110,0.42,0.58,0.38,65,2010s,0.05,0.88,0.55
12,Meri Baaton Mein Tu,Anuv Jain,indie pop,romantic,0.44,78,0.64,0.54,0.72,74,2020s,0.03,0.92,0.38
13,Tumhare Aane Se,Ashu Shukla,indie pop,romantic,0.40,76,0.60,0.50,0.78,62,2020s,0.04,0.90,0.35
14,My Universe,Coldplay,pop,happy,0.74,104,0.76,0.70,0.18,86,2020s,0.02,0.94,0.48
15,APT.,ROSE,pop,happy,0.82,138,0.86,0.84,0.08,90,2020s,0.01,0.96,0.45
16,Alag Aasmaan,Anuv Jain,indie pop,melancholy,0.36,72,0.36,0.46,0.80,72,2020s,0.05,0.88,0.38
17,Aahatein,Samyak Prasana,indie pop,melancholy,0.32,68,0.34,0.42,0.84,58,2020s,0.08,0.85,0.32
18,Wake Me Up,Avicii,electronic,motivated,0.80,124,0.72,0.76,0.32,88,2010s,0.04,0.88,0.52
19,The Nights,Avicii,electronic,motivated,0.78,126,0.78,0.72,0.18,86,2010s,0.06,0.86,0.50
20,Horaata,Charanraj MR,sandlewood,melancholy,0.48,84,0.38,0.50,0.58,66,2020s,0.10,0.84,0.55
21,Sapta Sagaradaache Ello,Charanraj MR,sandlewood,melancholy,0.44,80,0.36,0.46,0.62,68,2020s,0.08,0.86,0.52
22,Ik Junoon,Vishal Dadlani,bollywood,motivated,0.82,136,0.76,0.74,0.14,72,2000s,0.03,0.92,0.55
23,Hasi,Ami Mishra,bollywood,romantic,0.38,76,0.62,0.48,0.74,78,2010s,0.04,0.90,0.38
24,With You,AP Dhillon,r&b,romantic,0.58,88,0.62,0.66,0.32,82,2020s,0.03,0.92,0.45
